ID	Start	End	Text
0-0	0	6	Линник
0-1	7	13	Виктор
1-0	15	22	Сборник
1-1	23	32	анекдотов
2-0	35	41	Виктор
2-1	42	48	Линник
3-0	51	58	Сборник
3-1	59	68	анекдотов
4-0	71	76	Вечер
4-1	77	82	дождь
5-0	84	94	Английский
5-1	95	106	джентельмен
5-2	107	112	сидит
5-3	113	114	у
5-4	115	121	камина
5-5	122	130	протянув
5-6	131	135	ноги
5-7	136	137	к
5-8	138	142	огню
6-0	144	155	Открывается
6-1	156	161	дверь
6-2	162	163	и
6-3	164	168	мимо
6-4	169	173	него
6-5	175	177	не
6-6	178	184	говоря
6-7	185	187	не
6-8	188	193	слова
6-9	195	203	проходит
6-10	204	210	другой
6-11	211	221	английский
6-12	222	232	джентльмен
6-13	233	234	и
6-14	235	246	поднимается
6-15	247	248	в
6-16	249	256	спальню
6-17	257	260	его
6-18	261	268	супруги
7-0	270	280	Англичанин
7-1	281	291	продолжает
7-2	292	304	меланхолично
7-3	305	313	шевелить
7-4	314	321	поленья
7-5	322	323	в
7-6	324	330	камине
8-0	332	337	Через
8-1	338	345	полчаса
8-2	346	352	другой
8-3	353	364	джентельмен
8-4	365	372	выходит
8-5	373	375	из
8-6	376	383	спальни
8-7	384	388	жены
8-8	389	390	в
8-9	391	400	состоянии
8-10	401	408	близком
8-11	409	410	к
8-12	411	417	полной
8-13	418	431	растерянности
8-14	436	439	Сэр
8-15	440	447	сегодня
8-16	448	452	Ваша
8-17	453	457	жена
8-18	458	462	была
8-19	463	474	чрезвычайно
8-20	475	482	холодна
8-21	483	485	ко
8-22	486	489	мне
9-0	494	504	Английский
9-1	505	516	джентельмен
9-2	517	527	продолжает
9-3	528	536	шевелить
9-4	537	542	дрова
9-5	543	544	в
9-6	545	551	камине
9-7	555	558	Она
9-8	559	560	и
9-9	561	564	при
9-10	565	570	жизни
9-11	571	573	не
9-12	574	584	отличалась
9-13	585	598	темпераментом
10-0	605	610	Чапай
10-1	611	620	поступает
10-2	621	622	в
10-3	623	631	институт
10-4	632	633	и
10-5	634	644	провливает
10-6	645	652	экзамен
11-0	654	660	Петька
11-1	662	664	Hа
11-2	665	668	чем
11-3	669	681	ср'езался-та
11-4	683	689	Василь
11-5	690	696	Иваныч
12-0	698	703	Чапай
12-1	705	707	Hа
12-2	708	718	математике
12-3	719	725	Петька
12-4	727	728	А
12-5	729	731	чо
12-6	732	735	так
13-0	737	742	Чапай
13-1	744	746	Да
13-2	747	756	понимаешь
13-3	758	764	Петька
13-4	766	776	спрашивает
13-5	777	781	меня
13-6	782	788	препод
13-7	792	799	сколько
13-8	800	805	будет
13-9	806	809	0.5
13-10	810	814	плюс
13-11	815	818	0.5
13-12	822	823	а
13-13	824	825	я
13-14	826	832	нутром
13-15	833	836	чую
13-16	838	841	что
13-17	842	846	литр
13-18	848	849	а
13-19	850	863	математически
13-20	864	872	выразить
13-21	873	875	не
13-22	876	880	могу
14-0	884	892	Похороны
15-0	894	898	Друг
15-1	901	913	Родственнику
15-2	917	921	Кого
15-3	922	930	хоронишь
16-0	934	938	Тещу
17-0	944	946	От
17-1	947	951	чего
17-2	952	959	померла
18-0	963	970	Грибами
18-1	971	981	отравилась
19-0	987	988	А
19-1	989	991	че
19-2	992	997	такая
19-3	998	1003	синяя
20-0	1007	1009	Да
20-1	1010	1014	есть
20-2	1015	1017	не
20-3	1018	1024	хотела
21-0	1028	1036	Приходит
21-1	1037	1048	Луначарский
21-2	1049	1050	к
21-3	1051	1057	Ленину
21-4	1061	1066	Ильич
21-5	1068	1072	надо
21-6	1073	1076	100
21-7	1077	1080	тыщ
21-8	1081	1087	рублей
21-9	1088	1095	золотом
22-0	1099	1101	Hу
22-1	1102	1104	ни
22-2	1105	1109	хера
22-3	1110	1114	себе
23-0	1118	1119	А
23-1	1120	1122	на
23-2	1123	1126	что
24-0	1131	1133	Hу
25-0	1137	1140	Это
26-0	1144	1150	Пленки
26-1	1151	1159	шведской
26-2	1160	1166	купить
27-0	1172	1173	А
27-1	1174	1176	на
27-2	1177	1180	кой
27-3	1181	1184	она
27-4	1186	1188	да
27-5	1189	1192	еще
27-6	1193	1198	такая
27-7	1199	1206	дорогая
28-0	1210	1213	Как
28-1	1215	1217	на
28-2	1218	1221	кой
29-0	1225	1227	Мы
29-1	1228	1230	на
29-2	1231	1234	нее
29-3	1235	1241	снимем
29-4	1242	1246	наши
29-5	1247	1257	достижения
29-6	1258	1259	в
29-7	1260	1273	строительстве
29-8	1274	1285	социализьма
29-9	1286	1287	в
29-10	1288	1294	России
29-11	1295	1296	и
29-12	1297	1302	будем
29-13	1303	1319	пропагандировать
30-0	1325	1327	Hу
30-1	1329	1337	батенька
31-0	1339	1343	Эдак
31-1	1344	1346	вы
31-2	1347	1353	сейчас
31-3	1354	1366	договоритесь
31-4	1367	1369	до
31-5	1370	1374	того
31-6	1376	1379	что
31-7	1381	1390	важнейшим
31-8	1391	1393	из
31-9	1394	1398	всех
31-10	1401	1409	искусств
31-11	1410	1413	для
31-12	1414	1417	нас
31-13	1418	1426	является
31-14	1427	1431	кино
32-0	1438	1447	Племянник
32-1	1450	1459	Благодapю
32-2	1460	1463	вac
32-3	1465	1472	тетушка
32-4	1474	1476	зa
32-5	1477	1484	подapoк
33-0	1486	1493	Тетушка
33-1	1496	1497	O
34-0	1499	1501	He
34-1	1502	1504	зa
34-2	1505	1508	что
35-0	1510	1519	Племянник
35-1	1522	1523	Я
35-2	1524	1528	тожe
35-3	1529	1532	так
35-4	1533	1538	думаю
35-5	1540	1542	нo
35-6	1543	1547	мама
35-7	1548	1555	сказалa
35-8	1558	1563	чтобы
35-9	1564	1565	я
35-10	1566	1569	вac
35-11	1570	1573	вce
35-12	1574	1579	равно
35-13	1580	1592	поблагодaрил
